,adj,net_affect,net_affect_rating,raw_prev
Salvador,0.35339660054047684,0.3171079899562035,0.3352745192359978,0.4090019569471624
Aswan,0.3964795136085176,0.3571282057238228,0.2901456634181695,0.491701244813278
Rio de Janeiro,0.34301235335017677,0.29764910810875395,0.2763974370628106,0.421875
Abu Dhabi,0.2708047037688513,0.21765675658827455,0.22106235817177353,0.5187234042553192
Cairo,0.18760150236339768,0.17585412382571014,0.20813515650198594,0.425541724296911
Foz do Iguaçu,0.22792036748894712,0.20110281508747566,0.2034137105544031,0.4058853373921867
São Paulo,0.23329498052690067,0.2000464341572094,0.20031524904814804,0.3990561090718406
Dubai,0.2790789486921677,0.2115908546344418,0.17962151589573902,0.5126735063367531
Al-Ula,0.051312121479588774,0.12256714292901605,0.16391903853282327,0.3580786026200873
Johannesburg,0.1672414321306049,0.12417411125582081,0.14064789886028,0.4391237901171676
Sharjah,0.19965933635706987,0.16010912112769282,0.11453653792794168,0.5072933549432739
Lalibela,0.18350434161313134,0.10724727919462891,0.11091159986782653,0.4620689655172413
Luxor,0.1418055412534214,0.1290026816489342,0.10914370764170196,0.439696106362773
Agra,0.0772750092860279,0.07798672004034285,0.08644394935959046,0.3977900552486187
Cape Town,0.21262913168355405,0.13962916408882597,0.08482427055284844,0.4848877374784111
Delhi,0.16076906268623561,0.11748423605698265,0.07379248782985226,0.4779803646563815
Jaipur,0.12827234135115162,0.09382869644088723,0.025065907534882054,0.4252955929774275
Shiraz,-0.10714439464914388,-0.03835631101119236,-0.0019828415453238546,0.2883295194508009
Saint Petersburg,0.0036034961181017344,0.023378354909628307,-0.002480879224837501,0.4477531131564699
Mumbai,0.01506822273005548,-0.046450352929796324,-0.11581722079042947,0.459043250327654
Addis Ababa,-0.03860430861431813,-0.0828633957111582,-0.11885692096399161,0.395
Moscow,-0.14339040830339922,-0.09223210880023658,-0.13014877126187271,0.4027635619242579
Jeddah,-0.38678950074707247,-0.3286772956792421,-0.2225620975533936,0.3343301435406698
Riyadh,-0.40864196087299537,-0.3691148251603965,-0.2410407944576025,0.3468388245770258
Beijing,-0.38165501871103197,-0.31440978901659955,-0.2882207009906017,0.3121827411167512
Isfahan,-0.46381462247222144,-0.36289781669185783,-0.31469318085581377,0.2325141776937618
Tehran,-0.6022476575792515,-0.47929111434368366,-0.39435019671831595,0.2326043737574552
Shanghai,-0.6023125405160628,-0.4516521231626399,-0.4393454193488231,0.268041237113402
Xi'an,-0.4981285945628812,-0.5075986632678484,-0.554151984285768,0.33984375
