city,H_conduct,H_ambience,H_development,country
Shanghai,0.4264705882352941,0.11764705882352941,0.45588235294117646,China
Xi'an,0.3821138211382114,0.2032520325203252,0.4146341463414634,China
Al-Ula,0.47321428571428575,0.16071428571428573,0.3660714285714286,Saudi Arabia
Beijing,0.5345911949685536,0.11949685534591198,0.3459119496855346,China
Moscow,0.5507662835249043,0.11302681992337166,0.33620689655172414,Russia
Saint Petersburg,0.5617673579801623,0.1073038773669973,0.3309287646528404,Russia
Dubai,0.5067645921917279,0.1623502126014689,0.33088519520680326,United Arab Emirates
Johannesburg,0.5166240409207161,0.15430520034100595,0.3290707587382779,South Africa
Riyadh,0.5238954012623985,0.15329125338142469,0.32281334535617673,Saudi Arabia
Abu Dhabi,0.48903156768325307,0.18994114499732476,0.32102728731942215,United Arab Emirates
Jeddah,0.5298602287166455,0.15501905972045743,0.3151207115628971,Saudi Arabia
Rio de Janeiro,0.5277648156789547,0.16005599626691552,0.3121791880541297,Brazil
Tehran,0.5318471337579618,0.1592356687898089,0.3089171974522293,Iran
Isfahan,0.5116279069767442,0.18023255813953487,0.3081395348837209,Iran
São Paulo,0.5282026768642447,0.16443594646271512,0.3073613766730402,Brazil
Cape Town,0.5210997442455243,0.17199488491048592,0.3069053708439897,South Africa
Cairo,0.5300462249614791,0.16718027734976887,0.3027734976887519,Egypt
Mumbai,0.5063538611925709,0.1915933528836755,0.3020527859237537,India
Aswan,0.4943820224719101,0.2050561797752809,0.30056179775280895,Egypt
Sharjah,0.515274949083503,0.18737270875763745,0.2973523421588595,United Arab Emirates
Delhi,0.5236938031591738,0.18266504657756177,0.2936411502632645,India
Salvador,0.559739319333816,0.1556842867487328,0.28457639391745115,Brazil
Shiraz,0.5542168674698795,0.16265060240963855,0.28313253012048195,Iran
Luxor,0.5472,0.1712,0.2816,Egypt
Lalibela,0.5212765957446809,0.20212765957446807,0.2765957446808511,Ethiopia
Foz do Iguaçu,0.5866028708133971,0.13875598086124402,0.2746411483253589,Brazil
Jaipur,0.5344931013797241,0.19196160767846426,0.2735452909418116,India
Addis Ababa,0.5273722627737226,0.20437956204379562,0.26824817518248173,Ethiopia
Agra,0.5636363636363637,0.16916996047430832,0.2671936758893281,India
