term,sim_hosp,sim_praise,margin,freq,group
acolhedor,0.7491700053215027,0.4405437111854553,0.30862629413604736,1069,acolh
acolhedora,0.7302383780479431,0.3603802025318146,0.36985817551612854,526,acolh
acolhida,0.7271852493286133,0.3546246588230133,0.3725605905056,79,acolh
convidativa,0.7176109552383423,0.4145936369895935,0.3030173182487488,29,convi
acolhido,0.678243100643158,0.3728701174259186,0.3053729832172394,31,acolh
caloroso,0.6780611276626587,0.4421291649341583,0.23593196272850037,144,calor
aconchego,0.677416980266571,0.405983567237854,0.27143341302871704,30,aconc
calorosa,0.6749030351638794,0.3291235864162445,0.3457794487476349,330,calor
acolhimento,0.6689456105232239,0.332071453332901,0.3368741571903229,97,acolh
estimulante,0.6493605375289917,0.46180057525634766,0.18755996227264404,37,estim
amavel,0.6487874388694763,0.5961655378341675,0.05262190103530884,33,amave
hospitalidade,0.6407591700553894,0.3668747842311859,0.2738843858242035,652,hospi
aconchegante,0.6328743696212769,0.46683916449546814,0.16603520512580872,829,aconc
leveza,0.6278132796287537,0.26929715275764465,0.358516126871109,31,levez
relaxados,0.623970091342926,0.4329153299331665,0.19105476140975952,25,relax
atmosferico,0.6239550113677979,0.5273006558418274,0.09665435552597046,26,atmos
acolhidos,0.6224873065948486,0.34463629126548767,0.27785101532936096,40,acolh
convidativo,0.6224014759063721,0.4430620074272156,0.1793394684791565,94,convi
positividade,0.6151812672615051,0.30340275168418884,0.3117785155773163,50,posit
receptividade,0.6118801832199097,0.40951624512672424,0.20236393809318542,31,recep
carinhosa,0.6113892793655396,0.41393059492111206,0.1974586844444275,34,carin
calorosos,0.6050562858581543,0.3158576488494873,0.289198637008667,44,calor
amorosa,0.6045112609863281,0.49179211258888245,0.11271914839744568,25,amoro
alegre,0.6030431985855103,0.4570380449295044,0.14600515365600586,215,alegr
motivador,0.6023727059364319,0.46234628558158875,0.14002642035484314,44,motiv
motivadora,0.6016908884048462,0.37846770882606506,0.22322317957878113,33,motiv
acolhedores,0.6013085842132568,0.38111191987991333,0.2201966643333435,190,acolh
inclusivo,0.5977624654769897,0.41640347242355347,0.18135899305343628,28,inclu
atmosfera,0.5920900702476501,0.3476516008377075,0.24443846940994263,873,atmos
hospitaleiro,0.5868368148803711,0.535205602645874,0.05163121223449707,40,hospi
motivado,0.5862295031547546,0.35263383388519287,0.23359566926956177,44,motiv
vibracao,0.5855479836463928,0.3829787075519562,0.20256927609443665,157,vibra
impar,0.5827868580818176,0.5380347371101379,0.04475212097167969,32,impar
encorajadores,0.5811228156089783,0.3366631865501404,0.2444596290588379,30,encor
humana,0.5788163542747498,0.29720252752304077,0.281613826751709,36,human
encorajadora,0.5768121480941772,0.35453253984451294,0.2222796082496643,44,encor
cordialidade,0.5760438442230225,0.3526591956615448,0.22338464856147766,79,cordi
energica,0.5713473558425903,0.47176241874694824,0.09958493709564209,27,energ
recebida,0.5703117847442627,0.3558107018470764,0.21450108289718628,72,receb
inspirador,0.5667566657066345,0.37493836879730225,0.19181829690933228,138,inspi
descontraida,0.5663415193557739,0.43581146001815796,0.13053005933761597,76,desco
encorajador,0.5651895999908447,0.3597591817378998,0.20543041825294495,55,encor
astral,0.5625420808792114,0.40239086747169495,0.16015121340751648,62,astra
aura,0.5616675019264221,0.3543769419193268,0.20729056000709534,28,aura
carisma,0.5579867362976074,0.3884497880935669,0.16953694820404053,52,caris
intimista,0.557045578956604,0.46915164589881897,0.08789393305778503,44,intim
enriquecedor,0.556405782699585,0.46968987584114075,0.08671590685844421,36,enriq
ambiente,0.5537146925926208,0.37161603569984436,0.1820986568927765,3222,ambie
solidario,0.5533753633499146,0.4308261275291443,0.12254923582077026,42,solid
motiva,0.5530460476875305,0.3546305000782013,0.19841554760932922,35,motiv
charmosa,0.5528861284255981,0.4778810441493988,0.07500508427619934,40,charm
encantador,0.5503312349319458,0.5077263116836548,0.042604923248291016,216,encan
