type,share_of_reviews,markers,weights
1,0.09427945539749882,"incrivel, pacientes, amigavel, verdadeiramente, gentil/gentileza/gentis, sentir, detalhista, energia/energias/energica, cuidada/cuidadosos/cuidando, excepcional, comunidade/comunitario, apaixonados, queridas, relaxados/relaxante/relaxantes","15.21, 0.37, 0.33, 0.32, 0.32, 0.31, 0.26, 0.23, 0.21, 0.21, 0.19, 0.18, 0.17, 0.16"
2,0.0887613343315864,"maravilhosa/maravilhoso, pacientes, gentil/gentileza/gentis, sentir, encantador/encantadora/encantadores, receptiva/receptividade, acolhedor/acolhedora/acolhedoras/acolhedores, carinhosa, energia/energias/energica, aconchegante/aconchego, alegre/alegria, queridas, respeitada/respeitosa, cuidada/cuidadosos/cuidando","8.43, 0.15, 0.14, 0.11, 0.10, 0.10, 0.10, 0.10, 0.09, 0.09, 0.09, 0.08, 0.07, 0.07"
3,0.058536450101211765,"agradavel, gentil/gentileza/gentis, detalhista, cuidada/cuidadosos/cuidando, respeitada/respeitosa, excepcional, dedicada/dedicadas/dedicados/dedicam, pacientes, verdadeiramente, transformadora, queridas, receptiva/receptividade, contribuiram, hospitaleiro/hospitalidade","9.65, 0.35, 0.30, 0.28, 0.26, 0.24, 0.21, 0.20, 0.17, 0.16, 0.14, 0.12, 0.11, 0.11"
4,0.08521199012838644,"atenciosa/atenciosas/atencioso, detalhista, cuidada/cuidadosos/cuidando, excepcional, dedicada/dedicadas/dedicados/dedicam, impecavelmente, gentil/gentileza/gentis, pacientes, carinhosa, verdadeiramente, sentir, receptiva/receptividade, prazerosa, acolhedor/acolhedora/acolhedoras/acolhedores","7.42, 1.40, 0.83, 0.41, 0.32, 0.31, 0.28, 0.27, 0.27, 0.22, 0.16, 0.14, 0.12, 0.12"
5,0.08665391121093642,"simpatia/simpatica/simpaticos, sentir, acolhedor/acolhedora/acolhedoras/acolhedores, aconchegante/aconchego, gentil/gentileza/gentis, relaxados/relaxante/relaxantes, inclusivo, contribuiram, receptiva/receptividade, pacientes, prazerosa, recebida, comunidade/comunitario, descomplicada/descontraida/descontraido","5.41, 0.15, 0.12, 0.11, 0.08, 0.08, 0.07, 0.07, 0.07, 0.06, 0.06, 0.06, 0.06, 0.05"
6,0.062196711310761724,"interacao, inclusivo, detalhista, descomplicada/descontraida/descontraido, comunidade/comunitario, pareca, contribuiram, queridas, pacientes, verdadeiramente, decorados, sentir, atmosfera/atmosferico, cuidada/cuidadosos/cuidando","6.39, 0.23, 0.19, 0.19, 0.19, 0.17, 0.16, 0.15, 0.14, 0.14, 0.13, 0.12, 0.12, 0.10"
7,0.08241133571804897,"prestativas/presteza, gentil/gentileza/gentis, amigavel, pacientes, excepcional, comunidade/comunitario, respeitada/respeitosa, contribuiram, receptiva/receptividade, transformadora, sentir, competentes, decorados, dedicada/dedicadas/dedicados/dedicam","5.54, 0.62, 0.35, 0.25, 0.12, 0.08, 0.08, 0.07, 0.07, 0.07, 0.06, 0.05, 0.05, 0.05"
8,0.19787593932839753,"contagiante, transformadora, recebida, cuidada/cuidadosos/cuidando, sentir, contribuiram, inclusivo, detalhista, verdadeiramente, descomplicada/descontraida/descontraido, comunidade/comunitario, queridas, pareca, respeitada/respeitosa","5.39, 2.11, 1.56, 0.82, 0.72, 0.72, 0.58, 0.56, 0.54, 0.53, 0.49, 0.47, 0.41, 0.30"
9,0.06569059701078668,"familiar, sentir, cuidada/cuidadosos/cuidando, gentil/gentileza/gentis, verdadeiramente, queridas, contribuiram, inclusivo, transformadora, hospitaleiro/hospitalidade, pareca, excepcional, relaxados/relaxante/relaxantes, comunidade/comunitario","5.87, 0.57, 0.39, 0.35, 0.24, 0.18, 0.15, 0.15, 0.14, 0.13, 0.12, 0.11, 0.11, 0.10"
10,0.17838227546238528,"ambiente, acolhedor/acolhedora/acolhedoras/acolhedores, amigavel, aconchegante/aconchego, sentir, descomplicada/descontraida/descontraido, verdadeiramente, pareca, pacientes, decorados, atmosfera/atmosferico, positiva/positividade, relaxados/relaxante/relaxantes, inspira/inspiracao/inspirador/inspiradora","4.76, 1.45, 0.76, 0.47, 0.44, 0.38, 0.26, 0.25, 0.25, 0.23, 0.22, 0.22, 0.22, 0.19"
