,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,prevalence
acolhedor/acolhedora/acolhedoras/acolhedores,-0.006469531375348529,0.17037599657136865,-0.58488588202829,0.053098047549474114,-0.007526100460453936,-0.15774137911018857,-0.08743233630494449,-0.04348914674274544,0.08563206950024944,0.0807742319878186,-0.0006651047325987541,-0.012505598256799665,0.02005033342144473,0.13137427353190634,0.019967880048664045,0.006415408699574275,-0.015314457729004909,0.0399561578318055
aconchegante/aconchego,-0.035098201400138675,-0.061755705488364655,-0.3868858495606372,0.05528374451667714,-0.04967741596067418,0.004076259650070728,-0.0465457287353482,0.013524878390541135,-0.057822280597080646,0.0359039085779711,0.09761902627880731,0.04996104588230768,0.014263819470799988,-0.040708060317487964,0.06733123393393078,0.3227157816760769,0.07621415287367443,0.0180350737345556
agradavel,0.14237897438428723,-0.006124321478205069,-0.15436716341064666,-0.08570549352421303,-0.18435825620344534,-0.03149353861384347,-0.13850278536287414,0.011295438643219063,0.029741237812411125,0.011402328355928663,0.0698665660261072,0.387088068041184,-0.15112554785253782,-0.10591198991244444,-0.07369878129694149,-0.05678142541467195,-0.025751016407430848,0.11494619370267038
alegre/alegria,0.09529348812848672,0.1265902907891305,-0.043098376727016594,0.034466299470647936,0.05266456702742723,0.012328467790771583,0.013754187373318894,-0.00565432748321476,0.0860466529921529,0.013431407989168498,0.03839307465443614,0.23691508010393175,-0.04222526581423191,0.09505739206684409,0.18528816453835995,0.016289158307157683,0.4189720313342454,0.013969709047429255
ambiente,0.051898640319086205,0.12020869473831247,-0.6693803291616457,0.010245246149640591,-0.025671880456514758,-0.010155875497910272,0.005026565876052885,0.02744619991079845,0.07982127094837206,-0.02115312605765451,-0.0352308901943807,0.077976252867001,-0.02974400923810984,-0.03712068453503587,0.024420282606902547,0.08723600010579052,-0.08852872865121388,0.06084097249900359
amigavel,0.14728257005495438,-0.09938988200260349,-0.2140961439260377,-0.07041842251196988,-0.06957270044877105,-0.07362567033744324,0.0620883876324198,-0.31341446766477005,0.07359514003967486,0.05865227353207368,0.07802629998209186,0.0671334943389067,0.078285703754862,0.07094322876427693,-0.1359563721927567,-0.16701396945255884,-0.07690013126398794,0.03736548425667597
anfitriao,-0.12027954518671057,0.07429240236073423,0.0788918806318924,-0.0094819879968787,-0.07880123482735894,-0.3190449979806112,0.045742286322698465,-0.031752478073935185,-0.03625162080765062,0.33008265618644356,0.04763544664257159,0.0923899474787758,0.09833314010365177,-0.01609315619211203,-0.01412245143744923,0.26206878035673603,-0.05895172791425872,0.00848943802311678
animado,-0.02891134478304665,0.04111293999871082,-0.03298260941510422,-0.08810027384985525,0.01100032565572719,0.0541194292859007,-0.02462498955374027,-0.36979909090433616,0.08951200117770426,-0.03174549228188155,-0.09897180318941434,-0.018398667296371907,0.058912129109370534,-0.08292867765073555,0.19711797593686853,0.12571598325711658,0.04614643105965005,0.012754085292945397
apaixonados,0.1388122666595292,0.23161618969807035,-0.145133466952627,0.030967712193904998,0.04698932220980238,-0.00497897887951804,-0.10924130203013305,-0.24053321169761166,0.000279465369061658,-0.04189010397541895,-0.09904212011081236,-0.18279601454755973,0.10556386819945927,0.1551966894347128,-0.04315742002346451,0.0007742555933597187,-0.008783909829320967,0.014826624153049023
apoiam,-0.03752397263629055,0.3003194785619802,-0.03537295398570413,-0.04771815704185616,-0.06007943858640604,0.05309087951244199,-0.01578759728091513,0.06847306863663867,-0.06884326392864973,0.3567228478352081,-0.01867070951569753,-0.1544417458436945,-0.02902999274366327,0.007346965673441443,0.049899574497462094,-0.05027378776644091,-0.004460390611603362,0.0062574730968513355
atenciosa/atenciosas/atencioso,0.09110788321135532,-0.01351580714342287,-0.07613387620589683,-0.03435475405385682,-0.2209365992169974,-0.0035709558401599457,-0.5474134896591061,-0.0023660983050713437,0.02617053620530844,-0.09232042004214881,-0.028888778967727072,0.09841945815505512,-0.006576899378635936,-0.01874521235849315,0.005792825288051293,0.035271438215456336,-0.01717048477007302,0.09629334396173775
atenta,-0.01736586137447968,0.0982514947278962,0.06583720718380942,-0.09066840143309246,-0.0010311197444120511,-0.07696043551459977,-0.110574939414036,-0.10636069045927973,-0.059051858691049876,-0.2114001787749166,0.2141557974301919,-0.007978474380394025,0.09972865405793846,0.07504167584367508,0.023312558734015564,0.11130078179620473,-0.18502507851159752,0.005241131925069749
atmosfera/atmosferico,0.05337461362618158,-0.03647086087581233,-0.20653471191839376,0.023980261173847616,0.008723012915871475,-0.08761016083966856,0.01338298262049098,0.018731030883311833,0.37163898398498485,0.020648111929663926,0.26851456142507324,-0.01109407887725572,0.04403331912904647,0.07868817761573886,-0.15543381583472785,0.15405727728399551,-0.006321733038795175,0.01711837385412515
autenticidade,0.2533416787383994,-0.18032150569905733,-0.09467752129082621,0.029841458713361167,-0.030091688359964577,-0.15012216620479524,-0.01791551767289515,-0.1245336554070833,0.031513949553674356,0.09616524893363532,-0.09732000231942181,-0.24769926483586993,-0.13606628569901932,0.10388182043019895,0.21976294673543678,0.1847861301004909,-0.04625954755766431,0.012435233160621761
calma,-0.029967585471947594,0.1036081958747034,0.06256604861903227,0.020388308600042798,0.012361191506697105,-0.024150408380454114,-0.0019483984194570575,0.021987277451521285,0.036222669995006486,-0.08638376914834155,0.5533525204196975,-0.0038035206745158307,-0.11557104840119706,0.018546714697402638,0.021635702893629417,0.028383702569430604,-0.0030053248906618535,0.004145077720207254
calorosa/calorosamente/caloroso/calorosos,0.09092807502127183,-0.022790615955616947,-0.13206413171145553,-0.010825381437103456,0.02777080698951348,-0.6359896053599626,-0.045444999254797044,-0.03294868235908599,0.036107538892686586,-0.04243932975378414,0.04812799852321479,-0.015775322073692102,-0.019978124589668543,-0.011894237677697764,0.02485217761124676,-0.030641937252782372,0.08454337718379669,0.015603826225587883
carinhosa,-0.14365557459030243,0.05683353352349152,-0.038413721893415055,0.05279208683992781,0.1528993092224359,0.07720109872419365,-0.46249205394251813,-0.0493362078893124,0.025198439671943153,0.04934226394344707,-0.07499086971344401,0.10154672513921521,-0.05137202015653439,0.2677754737250983,0.014593738862720538,0.08480213390928475,0.13473300992180504,0.013112793941809486
charme/charmosa/charmoso,0.16594000330956238,-0.14010052294394088,-0.1124791419358027,0.01783800238565063,-0.024761013941301546,0.054667552912929525,-0.003997369642280285,-0.001660089856863206,0.02029343383970644,-0.0024071805430509944,0.09402015331339525,-0.040747176585000947,-0.014558840908163418,-0.028079510794496974,0.1900189218592116,0.3393702681106579,0.07420423169609162,0.005300916699880431
clima,-0.015239561781551862,-0.07521953386821192,-0.2200391402337906,-0.07395026284083302,-0.02753552771281243,0.1605524204216031,0.01876546154262228,-0.07083962868333349,0.03486088545931984,0.018219378097716402,0.03857485720055155,0.017076946140352565,-0.11771962381003073,-0.17356317349671596,-0.0009775365575954355,0.028592368790185955,0.1836695771018354,0.008529294539657234
competentes,0.005533038354970498,0.031783292062281115,-0.09339772098067436,-0.15927472640296544,-0.06500025506172662,0.024098063885552072,-0.0826800560097238,0.22884471960868175,-0.02256178673589902,-0.020898287650896567,0.0003719685087356643,0.08523473478609926,0.017233190142507373,0.1900176703546195,0.0622723257821599,-0.08568715693188524,0.0432732301363852,0.015803108808290157
comunidade/comunitario,0.04968014880368315,0.10804971241540832,0.031651951423204566,-0.2808205487487779,-0.06536021454290558,-0.08969086570357053,-0.008425818180323483,0.08747558690876606,0.10344078202164238,0.2267776018159111,0.0448365479212791,-0.042713262630351426,0.08779306779914815,0.22809080654889516,-0.013812125324287383,-0.007573418232575097,-0.09782143137096316,0.02813870067756078
contagiante,-0.012999044898452742,0.014348407813163901,0.04118578387840078,-0.4604802765812452,0.01191650601298365,-0.004488043730505296,-0.07654063340765387,-0.13339618115563265,0.027770683346701543,-0.02333019601570714,-0.08765248390693266,0.027078238810084268,0.10497949207573802,0.051344598279273755,0.06125297892774919,-0.005748780321864272,0.07025608401178467,0.05595854922279793
contribuiram,0.010389699375789735,-0.07411924569844423,-0.03912577659240405,-0.3779604905032799,-0.047609051004008106,0.06441326573000537,-0.05328080491758727,0.12672247106157133,0.05805831994168164,0.05433022157838488,0.066495355720566,-0.08146059452591871,-0.09730457069836122,-0.0541854026036843,-0.03431013050033499,-0.04562968687712598,0.046083710811973905,0.028816261458748504
convidativa/convidativo,-0.04334907379432367,0.09734414287203734,-0.2070224564326073,-0.1444820638249513,-0.03011783014438255,-0.11455413605038049,0.0021985875097548496,0.052655885476322765,-0.01462291552892057,0.053397956438256476,-0.07579608796281032,-0.04984376925667126,0.00938447128790454,-0.17139829810476617,-0.17339046058405708,0.1869894530375457,0.21017679434683195,0.011717815862893582
cuidada/cuidadosos/cuidando,0.0549491317632184,0.007333684979761617,0.007571872333971241,-0.07842215474455946,0.021977126864514564,-0.06798752914030046,-0.5082876615543538,-0.02599288291746071,-0.027355533777597155,0.19764928804617904,0.13389836600267688,-0.06992290753175683,-0.024067965032443166,0.007465705783976963,0.003166474605209805,0.011517357653988312,0.015309203225654718,0.05173375846950976
decorados,-0.06501276404872437,0.036700432220873214,-0.06229373484199261,0.014301137978514287,-0.05544710160460584,-0.017419262956182863,-0.0863296308364679,0.003538406806661115,0.0004652924323217243,-0.061314843880207075,-0.0010306756327280258,-0.07942428799905225,-0.05980941312653257,-0.04489688586514893,0.01356159927203373,0.5142595532013626,-0.07026203070629643,0.016082104424073335
dedicada/dedicadas/dedicados/dedicam,0.27514701338146347,0.32101414277261103,0.02225130884229825,0.023466856574179684,0.008224460964324108,0.08220647605210181,-0.2711610452526885,0.13344537445700833,0.006956502904750903,0.05644498156764643,-0.06194699535753229,0.11022284340395229,-0.10813017364489491,0.041693970767233954,0.03156716672900385,0.0008154048792049541,0.05876619777052491,0.024671183738541252
descomplicada/descontraida/descontraido,0.16806769638562508,-0.11664912416427062,-0.28147019494658015,-0.2749459953597655,0.03096455158670152,0.05268442826652069,0.06269433242356531,-0.032256249486192,-0.06493775110478092,-0.04305256460481529,0.08769176754801829,-0.08646433818091574,0.018290903709847414,-0.01746107041968344,0.007668949315672713,-0.1034892264694938,0.17557063939305628,0.030031885213232364
detalhista,0.22000435101500937,-0.0034034131452907773,0.08199907140351244,-0.10598903751397465,-0.06025027510201431,-0.003774497231815695,-0.5685881455680742,-0.06967578332480749,0.010616191204324147,-0.0636013518872508,0.07313397385461594,0.04143282139387086,0.030578127828467395,-0.06413019315415748,0.001847967331069312,0.06607989364052312,-0.09648583246849356,0.05055799123156636
diretora,-0.001845512476464594,-0.00948447504680323,-0.03273986186009284,-0.2892858100873147,-0.03163497305635086,-0.025244660497478432,0.00414669649224065,-0.056436473673813894,-0.016213870473203176,-0.12226536586853395,-0.04745109504507427,-0.051532901633188404,-0.14216944283394717,-0.03923161728556135,0.15142384017025842,0.015383584165640021,-0.10832942091519149,0.00854922279792746
encantador/encantadora/encantadores,0.007405533300206129,-0.04935091907752204,-0.03084047084273316,-0.01896696783609921,0.0770971424534146,-0.02928999034257101,-0.08967742814811615,-0.02873927087940002,0.06654120426248386,-0.017703320848884773,0.05987871269874532,0.12876648488596462,0.050353383931587226,0.029168882922253673,-0.1492862164718513,0.3005233515049019,0.14806914326870765,0.01703866082104424
energia/energias/energica,-0.02735169806882374,0.16351364492082104,0.012043875051388387,0.013623216114888727,0.02345437792847555,-0.006857815885705429,-0.04236556055517714,-0.14004417527790106,0.5964445409664725,-0.02209315208426902,-0.024987672387455556,0.045145641993714514,0.019841242388052092,-0.027642902675592197,0.14497132024677356,-0.06171058839400673,0.15013908878090929,0.01747708250298924
enriquecedor/enriqueceram,0.527049636702025,0.043975277934857185,0.027286604661618887,-0.04715333787270465,-0.007643730776417203,-0.01675832146538151,0.02013317962137072,0.012759955018575237,-0.013850793212161629,-0.09531778649433552,-0.014282181841142482,0.07417981357349167,0.008024230472152704,0.05603369934385178,0.1696471242849393,0.01798483429368027,-0.04296281981916602,0.00643682742128338
entusiasmada/entusiasmado,0.2629756554953852,0.2586778966407807,0.042490294496437375,-0.10648403364638474,0.024850060722716245,-0.02095473351939355,0.08041120843816534,-0.022388261297888127,0.12378116039670191,0.02507266328708253,-0.06258280029426663,0.0013177905431766938,0.07631770193933994,-0.06124507042527952,-0.025098549737261076,0.13567568523979645,0.20611007604268544,0.009166998804304504
envolvente,0.29627243750499976,0.15811775928367988,0.04688933902700511,-0.04916744302514364,0.06628549378334722,0.011492441819528102,0.03360512204594918,-0.14180304457326928,0.0007679470444138752,0.08321865969273916,-0.03735746824985863,0.006949228811797949,0.025326673146540482,0.1346674075716404,-0.16544889226011167,0.20531197790718883,0.06601615989270604,0.012634515743324033
excepcional,0.44669497690532306,-0.00691217908975019,-0.021476923969661266,-0.01925808020894232,-0.12127250365708572,-0.14192235429835978,-0.25801926927177316,0.05275652954290399,0.020141345063191894,0.01704425972448957,-0.0716936387105327,0.003585826828259379,0.022178681426003707,-0.1402241904104863,-0.06071249222555748,-0.02544723807346748,-0.05166428574519438,0.029912315663611
exemplar,-0.0036571925051842894,0.047454331674258596,0.004142910181568389,-0.23453831401511155,0.043303622805470725,0.02230608725882052,-0.03364877116895506,0.025861889321121365,0.04110484338598671,-0.07786990777199783,-0.05684520490921977,0.05425875496856335,-0.23096318125528964,0.027382348159202798,-0.28234214137080266,0.19995389901270194,-0.07007833106156136,0.006416899163013153
extraordinarios,0.1354355851811753,0.006142544647630925,0.05819665762892632,-0.14851929992082674,0.09701620002746189,-0.1252135994475446,-0.06840521390278886,0.03432756667857386,0.07502742361817023,0.07366236945143358,0.04548773176658072,-0.05021464751795591,0.007687690121651147,-0.06563537444557052,-0.12173443161816913,-0.04332050235545464,0.13678431028885654,0.012116381028298127
familiar,0.017341661182982984,-0.06129356028242221,-0.058224550248971704,-0.1067310012822954,-0.008468094354930837,-0.0497896104766614,-0.050573138470376276,-0.06638227702183651,-0.01946122961648858,0.4900230700566295,-0.013089450245533787,0.22564803499374284,-0.08802293076483222,0.027424095643470824,0.09561123414079886,-0.04378405686357556,-0.01099478218715731,0.05719410123555201
generosidade,0.06347078719838298,0.022316199850323768,-0.09762508420841967,0.004421419074480234,0.006190044870728477,-0.15521777943853296,0.0803801640377658,-0.033895330810232084,-0.11820431816056459,0.013941953550123176,-0.04663262189778981,0.09248215049639161,-0.30533628097767734,0.036537846079071915,0.0723255637578456,0.11426422436416935,0.028216028385287747,0.005380629732961339
gentil/gentileza/gentis,0.011306516698613643,0.07746055285667179,0.0587818255728143,0.020962911559862747,-0.3067380665899395,-0.1767905604626203,0.020235042062144007,-0.14886599371030151,0.005573213127238933,0.03536963844353728,0.06359569154193496,0.1604372485461466,-0.3410476409052415,0.09919901182590969,-0.08831477786282692,-0.01222053649232252,0.10559013527307139,0.04396173774412116
genuina/genuinamente/genuino,0.1739741839064683,0.11677716736793027,-0.013196739741722655,0.06092739466583481,-0.025172062900180425,-0.22549933261166544,-0.2205603537376817,-0.01449704157997796,0.029178382953894615,0.07789109352140035,0.0702543135820267,-0.3315390054183275,-0.0880306558629281,0.10245777119522281,-0.07199904710535467,-0.02104438615470483,0.16407379325567528,0.010103626943005182
