group,family,prevalence,sim_hosp,margin
ambie,ambiente,0.0596,0.5537146925926208,0.1820986568927765
atenc,atencao/atenciosa/atenciosas,0.0581,0.48514172434806824,0.1270991563796997
simpa,simpatia/simpatica/simpaticas/simpaticos,0.0505,0.5346096158027649,0.15771368145942688
famil,familia/familiar,0.0491,0.4712787866592407,0.05544400215148926
confo,confortavel/conforto,0.0443,0.45654886960983276,0.11776706576347351
genti,gentil/gentileza/gentis,0.0424,0.5234055519104004,0.21551930904388428
acolh,acolhedor/acolhedora/acolhedoras/acolhedores/acolhida/acolhido/acolhidos/acolhimento,0.0387,0.7491700053215027,0.3725605905056
amiga,amigavel,0.0244,0.5287817120552063,0.032434672117233276
prest,prestativa/prestativas/presteza/prestou,0.0243,0.5327715277671814,0.18786755204200745
profi,profissionalismo,0.0228,0.44148126244544983,0.12840843200683594
segur,segura/seguro,0.0206,0.4317067265510559,0.06818696856498718
dedic,dedica/dedicacao/dedicada/dedicadas/dedicados/dedicam,0.0196,0.5233358144760132,0.16907888650894165
aconc,aconchegante/aconchegantes/aconchego,0.0179,0.677416980266571,0.27143341302871704
atmos,atmosfera/atmosferico,0.017,0.6239550113677979,0.24443846940994263
recep,recepcao/recepcionista/receptiva/receptividade/receptivo,0.0165,0.6118801832199097,0.20236393809318542
energ,energia/energias/energica,0.0157,0.5713473558425903,0.18783164024353027
paixa,paixao,0.0133,0.4371330142021179,0.09355634450912476
hospi,hospitaleiro/hospitalidade,0.0132,0.6407591700553894,0.2738843858242035
alegr,alegre/alegres/alegria,0.0132,0.6030431985855103,0.14600515365600586
apoio,apoio,0.0131,0.457902729511261,0.13198253512382507
carin,carinho/carinhosa,0.012,0.6113892793655396,0.1974586844444275
calor,calorosa/calorosamente/caloroso/calorosos,0.0116,0.6780611276626587,0.3457794487476349
posit,positiva/positividade/positivo,0.0111,0.6151812672615051,0.3117785155773163
criat,criativa/criativas/criativo,0.0111,0.44531455636024475,0.11386597156524658
apren,aprendizado,0.0099,0.429302841424942,0.10602176189422607
inspi,inspira/inspiracao/inspirador/inspiradora/inspiradoras/inspiradores/inspirar,0.0097,0.5667566657066345,0.21787139773368835
decor,decoracao/decorados,0.0095,0.4911137521266937,0.1318075954914093
vibra,vibracao/vibracoes/vibrante,0.0093,0.5855479836463928,0.20256927609443665
genui,genuina/genuinamente/genuino,0.0089,0.5428382158279419,0.19460588693618774
relax,relaxados/relaxante/relaxantes,0.0086,0.623970091342926,0.19105476140975952
receb,recebida/recebido/recebidos,0.0085,0.5703117847442627,0.21450108289718628
respe,respeitada/respeitado/respeitosa/respeitoso/respeitosos,0.0084,0.5149781107902527,0.19044756889343262
encan,encantador/encantadora/encantadoras,0.0077,0.5503312349319458,0.08258238434791565
sorri,sorridente/sorrindo/sorriso/sorrisos,0.0073,0.5488543510437012,0.2515522986650467
educa,educada,0.0071,0.43313658237457275,0.061078161001205444
comun,comunidade/comunitario,0.0066,0.5130634903907776,0.24347233772277832
clima,clima,0.0065,0.46852922439575195,0.13555333018302917
auten,autentica/autenticidade,0.0063,0.4712015986442566,0.17324313521385193
cresc,crescer/cresceu/crescimento,0.0058,0.45425945520401,0.200088232755661
tranq,tranquilidade,0.0056,0.4308193325996399,0.11415883898735046
cuida,cuida/cuidada/cuidadosos/cuidando,0.0053,0.5277572274208069,0.19521638751029968
entus,entusiasmo,0.0053,0.44174742698669434,0.153081476688385
enriq,enriquecedor/enriquecedora/enriqueceram/enriqueceu,0.0051,0.556405782699585,0.11659270524978638
pacie,pacientes,0.0051,0.47683900594711304,0.19515103101730347
incen,incentiva/incentivam/incentivando/incentivar/incentivo,0.0049,0.5144202709197998,0.2600625455379486
compe,competencia/competentes,0.0049,0.49411147832870483,0.10897380113601685
envol,envolvente,0.0047,0.4736461341381073,0.08730378746986389
apaix,apaixonados/apaixonar,0.0044,0.4810636639595032,0.15682709217071533
desco,descontraida/descontraido,0.0044,0.5663415193557739,0.13053005933761597
anfit,anfitriao,0.0043,0.4910655617713928,0.10564252734184265
humil,humilde/humildes,0.0041,0.5239430665969849,0.16136255860328674
anima,animadas/animado,0.0038,0.47217488288879395,0.09522309899330139
motiv,motiva/motivacao/motivado/motivador/motivadora,0.0038,0.6023727059364319,0.23359566926956177
since,sincera/sinceridade,0.0036,0.4321090281009674,0.15035587549209595
calma,calma,0.0035,0.528949499130249,0.16584372520446777
charm,charme/charmosa,0.0032,0.5528861284255981,0.07500508427619934
