term,sim_hosp,sim_praise,margin,freq,group
acolhedor,0.7491700053215027,0.4405437111854553,0.3086262941360473,1069,acolh
acolhedora,0.7302383780479431,0.3603802025318146,0.3698581755161285,526,acolh
acolhida,0.7271852493286133,0.3546246588230133,0.3725605905056,79,acolh
convidativa,0.7176109552383423,0.4145936369895935,0.3030173182487488,29,convi
acolhido,0.678243100643158,0.3728701174259186,0.3053729832172394,31,acolh
caloroso,0.6780611276626587,0.4421291649341583,0.2359319627285003,144,calor
aconchego,0.677416980266571,0.405983567237854,0.271433413028717,30,aconc
calorosa,0.6749030351638794,0.3291235864162445,0.3457794487476349,330,calor
acolhimento,0.6689456105232239,0.332071453332901,0.3368741571903229,97,acolh
estimulante,0.6493605375289917,0.4618005752563476,0.187559962272644,37,estim
amavel,0.6487874388694763,0.5961655378341675,0.0526219010353088,33,amave
hospitalidade,0.6407591700553894,0.3668747842311859,0.2738843858242035,652,hospi
aconchegante,0.6328743696212769,0.4668391644954681,0.1660352051258087,829,aconc
leveza,0.6278132796287537,0.2692971527576446,0.358516126871109,31,levez
relaxados,0.623970091342926,0.4329153299331665,0.1910547614097595,25,relax
atmosferico,0.6239550113677979,0.5273006558418274,0.0966543555259704,26,atmos
acolhidos,0.6224873065948486,0.3446362912654876,0.2778510153293609,40,acolh
convidativo,0.6224014759063721,0.4430620074272156,0.1793394684791565,94,convi
positividade,0.6151812672615051,0.3034027516841888,0.3117785155773163,50,posit
receptividade,0.6118801832199097,0.4095162451267242,0.2023639380931854,31,recep
carinhosa,0.6113892793655396,0.413930594921112,0.1974586844444275,34,carin
calorosos,0.6050562858581543,0.3158576488494873,0.289198637008667,44,calor
amorosa,0.6045112609863281,0.4917921125888824,0.1127191483974456,25,amoro
alegre,0.6030431985855103,0.4570380449295044,0.1460051536560058,215,alegr
motivador,0.6023727059364319,0.4623462855815887,0.1400264203548431,44,motiv
motivadora,0.6016908884048462,0.378467708826065,0.2232231795787811,33,motiv
acolhedores,0.6013085842132568,0.3811119198799133,0.2201966643333435,190,acolh
inclusivo,0.5977624654769897,0.4164034724235534,0.1813589930534362,28,inclu
atmosfera,0.5920900702476501,0.3476516008377075,0.2444384694099426,873,atmos
hospitaleiro,0.5868368148803711,0.535205602645874,0.051631212234497,40,hospi
motivado,0.5862295031547546,0.3526338338851928,0.2335956692695617,44,motiv
vibracao,0.5855479836463928,0.3829787075519562,0.2025692760944366,157,vibra
impar,0.5827868580818176,0.5380347371101379,0.0447521209716796,32,impar
