term,sim_hosp,sim_praise,margin,freq,excluded_by
trato,0.4199376106262207,0.21426130831241608,0.20567630231380463,64,similarity
conduzida,0.4197738468647003,0.3473672568798065,0.0724065899848938,30,similarity
professores,0.41950544714927673,0.2553616166114807,0.16414383053779602,1241,similarity
amigaveis,0.4192058742046356,0.34740233421325684,0.07180353999137878,387,similarity
compreensivos,0.41919514536857605,0.2991998791694641,0.11999526619911194,25,similarity
corresse,0.4185202419757843,0.3763001263141632,0.042220115661621094,135,similarity
concluindo,0.41833773255348206,0.39772501587867737,0.020612716674804688,26,similarity
estarmos,0.4180181920528412,0.20112550258636475,0.21689268946647644,28,similarity
fadas,0.4178864359855652,0.2763751447200775,0.14151129126548767,43,similarity
spanda,0.41782352328300476,0.3146929144859314,0.10313060879707336,27,similarity
impressionou,0.41761514544487,0.3894785940647125,0.02813655138015747,93,similarity
projetado,0.41744521260261536,0.34045884013175964,0.07698637247085571,66,similarity
exigente,0.4173617362976074,0.3856693506240845,0.03169238567352295,30,similarity
envolver,0.41734474897384644,0.31170472502708435,0.10564002394676208,31,similarity
forro,0.4171891212463379,0.33395126461982727,0.08323785662651062,58,similarity
demonstrando,0.417152464389801,0.2792854607105255,0.1378670036792755,47,similarity
preocupa,0.41686925292015076,0.3445008397102356,0.07236841320991516,78,similarity
piloto,0.4158531427383423,0.39419111609458923,0.021662026643753052,90,similarity
gastronomica,0.41578760743141174,0.3231629729270935,0.09262463450431824,289,similarity
equipa,0.41568416357040405,0.32316455245018005,0.092519611120224,114,similarity
detalhista,0.5621914267539978,0.5471361875534058,0.015055239200592041,29,contrastive margin
carismatico,0.5504053235054016,0.55335932970047,-0.0029540061950683594,31,contrastive margin
charmoso,0.5410304665565491,0.5582430958747864,-0.017212629318237305,76,contrastive margin
cordiais,0.5328375697135925,0.5543401837348938,-0.02150261402130127,33,contrastive margin
extraordinarios,0.5092061161994934,0.5582873821258545,-0.049081265926361084,28,contrastive margin
entusiasmada,0.4954555332660675,0.51280677318573,-0.017351239919662476,29,contrastive margin
atencioso,0.4920923113822937,0.4893985390663147,0.002693772315979004,1187,contrastive margin
agradavel,0.4898732304573059,0.5291132926940918,-0.03924006223678589,3017,contrastive margin
incrivel,0.4833223819732666,0.784663736820221,-0.30134135484695435,7897,contrastive margin
encantadores,0.4791160523891449,0.4624284505844116,0.016687601804733276,27,contrastive margin
entusiasmado,0.4786190986633301,0.47682473063468933,0.001794368028640747,44,contrastive margin
excepcional,0.4746270477771759,0.5826888680458069,-0.10806182026863098,1241,contrastive margin
maravilhosa,0.4725145101547241,0.5712685585021973,-0.09875404834747314,2913,contrastive margin
descomplicada,0.4625169336795807,0.45339301228523254,0.009123921394348145,32,contrastive margin
maravilhoso,0.4620145559310913,0.74180668592453,-0.2797921299934387,2191,contrastive margin
diferenciado,0.45911166071891785,0.5055162310600281,-0.04640457034111023,64,contrastive margin
surpreendente,0.4566228985786438,0.4765092134475708,-0.019886314868927002,72,contrastive margin
comprometida,0.4546833634376526,0.4844186007976532,-0.02973523736000061,72,contrastive margin
extraordinaria,0.45207786560058594,0.4572518467903137,-0.005173981189727783,117,contrastive margin
liderada,0.451651394367218,0.49589863419532776,-0.04424723982810974,35,contrastive margin
