country,city,suppliers,reviews,rating_sum,translated_n,creative_n,tokens_sum,H_n,H1_n,H2_n,H3_n,SQpos_n,SQneg_n,DQpos_n,DQneg_n,EXP_n,named_n
Brazil,Foz do Iguaçu,460,1971,8976,565,1179,106291,800,613,145,287,629,120,157,8,1153,448
Brazil,Rio de Janeiro,812,3712,17121,232,2245,192525,1566,1131,343,669,1129,238,430,21,2291,910
Brazil,Salvador,589,2555,11604,90,1521,128911,1045,773,215,393,783,168,285,19,1526,527
Brazil,São Paulo,845,3814,17121,42,2433,201039,1522,1105,344,643,1129,288,287,14,2250,929
China,Beijing,95,394,1720,313,100,27294,123,85,19,55,112,40,117,7,173,58
China,Shanghai,94,388,1672,300,106,25673,104,58,16,62,99,17,103,5,134,34
China,Xi'an,65,256,1153,245,186,19047,87,47,25,51,42,19,43,2,131,37
Egypt,Aswan,125,482,2295,447,142,33629,237,176,73,107,192,15,132,9,309,129
Egypt,Cairo,506,2169,9838,1990,1201,139577,923,688,217,393,790,122,458,22,1205,540
Egypt,Luxor,251,1053,4901,916,290,78174,463,342,107,176,453,65,351,11,638,363
Ethiopia,Addis Ababa,264,1000,4679,971,363,71701,395,289,112,147,410,49,248,6,605,125
Ethiopia,Lalibela,41,145,673,127,47,10374,67,49,19,26,65,5,50,0,97,29
India,Agra,526,2353,10834,2246,1438,130170,936,713,214,338,841,139,289,17,1227,474
India,Delhi,766,3565,16751,3512,1889,251574,1704,1293,451,725,1470,201,411,10,2227,933
India,Jaipur,604,2791,13351,2761,1514,163782,1187,891,320,456,1070,97,374,9,1635,678
India,Mumbai,655,3052,14508,3042,1593,214598,1401,1036,392,618,1258,129,350,6,2009,733
Iran,Isfahan,167,529,2308,524,286,25015,123,88,31,53,115,32,75,3,189,53
Iran,Shiraz,143,437,1951,430,184,21972,126,92,27,47,127,20,69,1,179,41
Iran,Tehran,290,1006,4298,990,426,53662,234,167,50,97,237,67,112,9,353,102
Russia,Moscow,466,1954,8807,1901,1004,154754,787,575,118,351,780,164,239,12,931,427
Russia,Saint Petersburg,421,1847,8357,1765,1046,147422,827,623,119,367,694,134,322,13,983,435
Saudi Arabia,Al-Ula,55,229,1036,218,47,12523,82,53,18,41,70,12,55,1,108,40
Saudi Arabia,Jeddah,378,1672,7088,1639,778,103346,559,417,122,248,559,119,134,1,766,345
Saudi Arabia,Riyadh,490,2246,9482,2186,1324,143875,779,581,170,358,799,185,147,10,1070,452
South Africa,Cape Town,540,2316,10986,2187,1188,166787,1123,815,269,480,879,108,391,6,1570,511
South Africa,Johannesburg,470,1963,9003,1891,1081,124228,862,606,181,386,678,106,205,8,1205,335
United Arab Emirates,Abu Dhabi,506,2350,10875,2259,1401,165762,1219,914,355,600,949,127,238,7,1525,479
United Arab Emirates,Dubai,722,3314,15615,3041,1699,232542,1699,1311,420,856,1379,145,445,10,2255,797
United Arab Emirates,Sharjah,131,617,2900,577,313,45852,313,253,92,146,258,30,67,2,394,129
