city,country,n_suppliers,n_reviews,n_hosp,boot_lo,boot_hi,boot_se,index_adjusted,index_net_affect,index_net_affect_rating
Abu Dhabi,United Arab Emirates,506,2350,1219,0.49225157472820796,0.5481852645282028,0.014139878845183565,0.2708047037688513,0.2176567565882745,0.2210623581717735
Addis Ababa,Ethiopia,264,1000,395,0.3596829334405399,0.42654314098364454,0.018066508020003598,-0.0386043086143181,-0.0828633957111582,-0.1188569209639916
Agra,India,526,2353,936,0.37120561867080926,0.4266292275574113,0.013841125069594142,0.0772750092860279,0.0779867200403428,0.0864439493595904
Al-Ula,Saudi Arabia,55,229,82,0.27247761830325423,0.44164698605488073,0.043518669834517035,0.0513121214795887,0.122567142929016,0.1639190385328232
Aswan,Egypt,125,482,237,0.435256608716361,0.5521211668232682,0.03012917380817827,0.3964795136085176,0.3571282057238228,0.2901456634181695
Beijing,China,95,394,123,0.2462107843137255,0.37486641062035564,0.03314230753950115,-0.3816550187110319,-0.3144097890165995,-0.2882207009906017
Cairo,Egypt,506,2169,923,0.3955377974174542,0.45370150663397657,0.014390307506206203,0.1876015023633976,0.1758541238257101,0.2081351565019859
Cape Town,South Africa,540,2316,1123,0.4600230506430418,0.5068937256351879,0.012279288786152233,0.212629131683554,0.1396291640888259,0.0848242705528484
Delhi,India,766,3565,1704,0.45689024876867956,0.5003689504078941,0.010916653841581107,0.1607690626862356,0.1174842360569826,0.0737924878298522
Dubai,United Arab Emirates,722,3314,1699,0.4919154224175559,0.5329429713665791,0.010485091853212412,0.2790789486921677,0.2115908546344418,0.179621515895739
Foz do Iguaçu,Brazil,460,1971,800,0.3793888948479237,0.4337856099518717,0.014179290453648283,0.2279203674889471,0.2011028150874756,0.2034137105544031
Isfahan,Iran,167,529,123,0.18655865013982315,0.28943340831707925,0.026510587058157842,-0.4638146224722214,-0.3628978166918578,-0.3146931808558137
Jaipur,India,604,2791,1187,0.4002367390530438,0.4504073905613271,0.01272699339523437,0.1282723413511516,0.0938286964408872,0.025065907534882
Jeddah,Saudi Arabia,378,1672,559,0.3066602584429998,0.3656833589899084,0.01565280661040902,-0.3867895007470724,-0.3286772956792421,-0.2225620975533936
Johannesburg,South Africa,470,1963,862,0.41117300807725304,0.4625191228964814,0.013157301307716677,0.1672414321306049,0.1241741112558208,0.14064789886028
Lalibela,Ethiopia,41,145,67,0.37371323529411765,0.5440202930781144,0.04512664847498116,0.1835043416131313,0.1072472791946289,0.1109115998678265
Luxor,Egypt,251,1053,463,0.40475876414910783,0.4768182674199623,0.01785381580640516,0.1418055412534214,0.1290026816489342,0.1091437076417019
Moscow,Russia,466,1954,787,0.3768166589805496,0.4336876248084488,0.0145341672080163,-0.1433904083033992,-0.0922321088002365,-0.1301487712618727
Mumbai,India,655,3052,1401,0.4347670263669708,0.47953727387771267,0.011776364327781608,0.0150682227300554,-0.0464503529297963,-0.1158172207904294
Rio de Janeiro,Brazil,812,3712,1566,0.4022778808522807,0.44063749907056754,0.009640969602531696,0.3430123533501767,0.2976491081087539,0.2763974370628106
Riyadh,Saudi Arabia,490,2246,779,0.3181922284562111,0.373869444009657,0.013643776989882225,-0.4086419608729953,-0.3691148251603965,-0.2410407944576025
Saint Petersburg,Russia,421,1847,827,0.4188035556225164,0.4741072180074924,0.014257757113589757,0.0036034961181017,0.0233783549096283,-0.0024808792248375
Salvador,Brazil,589,2555,1045,0.38579444809671204,0.43562356370133026,0.012589729966023028,0.3533966005404768,0.3171079899562035,0.3352745192359978
Shanghai,China,94,388,104,0.2176149193548387,0.3295161138333961,0.028184083676072877,-0.6023125405160628,-0.4516521231626399,-0.4393454193488231
Sharjah,United Arab Emirates,131,617,313,0.4622656288245949,0.560583680276886,0.025973963661203647,0.1996593363570698,0.1601091211276928,0.1145365379279416
Shiraz,Iran,143,437,126,0.2301980198019802,0.3466651995305164,0.030930526274605213,-0.1071443946491438,-0.0383563110111923,-0.0019828415453238
São Paulo,Brazil,845,3814,1522,0.37839676524700006,0.41944317240964873,0.010280248340099673,0.2332949805269006,0.2000464341572094,0.200315249048148
Tehran,Iran,290,1006,234,0.19947997255870814,0.2659540117416829,0.01730614907162355,-0.6022476575792515,-0.4792911143436836,-0.3943501967183159
Xi'an,China,65,256,87,0.26505202871662503,0.4108995623941276,0.03807265866654383,-0.4981285945628812,-0.5075986632678484,-0.554151984285768
