predictor,coef,se,t,p,n,suppliers,within_r2
H_conduct,0.1545483604364894,0.009994435395076173,15.463440837551335,2.113700221843461e-53,50180,11477,0.23392815070851958
H_ambience,0.08575217511959754,0.01250755471342647,6.8560303819854775,7.44323370344892e-12,50180,11477,0.23392815070851958
H_development,0.15096242101228138,0.011190423105018618,13.49032289445594,3.6700657178022423e-41,50180,11477,0.23392815070851958
SQpos_flag,0.18162684777969482,0.010499176855896377,17.299151187999325,3.2906387334102877e-66,50180,11477,0.23392815070851958
SQneg_flag,-1.2291028509456476,0.03654798133904326,-33.62984235828721,1.4783353901013816e-236,50180,11477,0.23392815070851958
DQpos_flag,0.15773776261690864,0.013670552495111519,11.538506777492309,1.2449010042149818e-30,50180,11477,0.23392815070851958
DQneg_flag,-0.28900993265989683,0.0908438402026048,-3.181392728613535,0.0014695908244422567,50180,11477,0.23392815070851958
EXP_flag,0.4413522678274131,0.011886545687819258,37.130406042159834,4.401297811836887e-285,50180,11477,0.23392815070851958
log_len,-0.2746261855511526,0.009493708504481375,-28.927176921591712,1.1742872851253799e-177,50180,11477,0.23392815070851958
translated,0.2787840110231887,0.039975645645431025,6.97384636375603,3.2533199152428514e-12,50180,11477,0.23392815070851958
is_creative,-1.8524121440902998e-18,6.691951069894034e-18,-0.27681196780173595,0.7819294764948926,50180,11477,0.23392815070851958
years_ago,0.04618032715393879,0.00507828832446613,9.093679642302238,1.114410368782783e-19,50180,11477,0.23392815070851958
