predictor,coef,se,t,p,model
SQpos_flag,-0.0002691623081244655,0.004106343522192103,-0.06554792765627598,0.9477388893582004,A: supplier fixed effects
SQneg_flag,-0.04048078905348808,0.007970663942123913,-5.078722343260819,3.859470984618342e-07,A: supplier fixed effects
H_conduct,0.03495283419551864,0.004563560269649823,7.659115280666751,2.022524931808983e-14,A: supplier fixed effects
H_ambience,0.04845814376450751,0.0073469263754438845,6.595702922309437,4.4184119141761343e-11,A: supplier fixed effects
H_development,0.023123127942070314,0.0052317751008472855,4.419748077153685,9.972317187693896e-06,A: supplier fixed effects
EXP_flag,0.011950025339845708,0.003676185896831784,3.2506586106389497,0.0011546999029107797,A: supplier fixed effects
log_len,0.07793462110224841,0.0027980524405952557,27.853166713940738,2.870943104818863e-165,A: supplier fixed effects
translated,0.015482699624391076,0.018863057878383303,0.8207947897002399,0.4117802160172523,A: supplier fixed effects
is_creative,2.623390621467939e-20,3.603226974405324e-18,0.007280669910895366,0.9941910437589025,A: supplier fixed effects
years_ago,-0.0007932724524879746,0.0013496971198583532,-0.5877410871049545,0.5567176570667718,A: supplier fixed effects
SQpos_flag,-0.012965656660778806,0.0033303930811140994,-3.8931310343827255,0.0005592324121256989,A2: city fixed effects
SQneg_flag,-0.06928940157074286,0.007740696796798465,-8.951313220200124,1.0467035676525087e-09,A2: city fixed effects
H_conduct,0.029830974319223564,0.0046011031943753306,6.483439527218335,5.034405896873366e-07,A2: city fixed effects
H_ambience,0.05109051390557319,0.005841861439564519,8.745588103058763,1.7002177297046744e-09,A2: city fixed effects
H_development,0.006201337095804917,0.005166612999738053,1.200271260131023,0.2400909389011013,A2: city fixed effects
EXP_flag,0.018003822233450956,0.004320586245770892,4.1669859619336584,0.00026812890894858086,A2: city fixed effects
log_len,0.07991134329836079,0.0053013247443018,15.073844209271384,5.772168351500541e-15,A2: city fixed effects
translated,-0.04129118510693323,0.015252845265789777,-2.7071136163391225,0.011433734493878031,A2: city fixed effects
is_creative,-0.0947075657060677,0.008437431133033826,-11.224691996035757,7.080570421250988e-12,A2: city fixed effects
years_ago,0.00285719420605551,0.0009850703265081042,2.900497689524103,0.0071742517626237285,A2: city fixed effects
