country,city,suppliers,reviews,mean_rating,translated,creative,tokens,H,SQ,DQ
Brazil,Foz do Iguaçu,460,1971,4.554,0.287,0.598,53.927,0.406,0.319,0.08
Brazil,Rio de Janeiro,812,3712,4.612,0.062,0.605,51.866,0.422,0.304,0.116
Brazil,Salvador,589,2555,4.542,0.035,0.595,50.454,0.409,0.306,0.112
Brazil,São Paulo,845,3814,4.489,0.011,0.638,52.711,0.399,0.296,0.075
China,Beijing,95,394,4.365,0.794,0.254,69.274,0.312,0.284,0.297
China,Shanghai,94,388,4.309,0.773,0.273,66.168,0.268,0.255,0.265
China,Xi'an,65,256,4.504,0.957,0.727,74.402,0.34,0.164,0.168
Egypt,Aswan,125,482,4.761,0.927,0.295,69.77,0.492,0.398,0.274
Egypt,Cairo,506,2169,4.536,0.917,0.554,64.351,0.426,0.364,0.211
Egypt,Luxor,251,1053,4.654,0.87,0.275,74.239,0.44,0.43,0.333
Ethiopia,Addis Ababa,264,1000,4.679,0.971,0.363,71.701,0.395,0.41,0.248
Ethiopia,Lalibela,41,145,4.641,0.876,0.324,71.545,0.462,0.448,0.345
India,Agra,526,2353,4.604,0.955,0.611,55.321,0.398,0.357,0.123
India,Delhi,766,3565,4.699,0.985,0.53,70.568,0.478,0.412,0.115
India,Jaipur,604,2791,4.784,0.989,0.542,58.682,0.425,0.383,0.134
India,Mumbai,655,3052,4.754,0.997,0.522,70.314,0.459,0.412,0.115
Iran,Isfahan,167,529,4.363,0.991,0.541,47.287,0.233,0.217,0.142
Iran,Shiraz,143,437,4.465,0.984,0.421,50.279,0.288,0.291,0.158
Iran,Tehran,290,1006,4.272,0.984,0.423,53.342,0.233,0.236,0.111
Russia,Moscow,466,1954,4.507,0.973,0.514,79.199,0.403,0.399,0.122
Russia,Saint Petersburg,421,1847,4.525,0.956,0.566,79.817,0.448,0.376,0.174
Saudi Arabia,Al-Ula,55,229,4.524,0.952,0.205,54.686,0.358,0.306,0.24
Saudi Arabia,Jeddah,378,1672,4.239,0.98,0.465,61.81,0.334,0.334,0.08
Saudi Arabia,Riyadh,490,2246,4.222,0.973,0.589,64.058,0.347,0.356,0.065
South Africa,Cape Town,540,2316,4.744,0.944,0.513,72.015,0.485,0.38,0.169
South Africa,Johannesburg,470,1963,4.586,0.963,0.551,63.285,0.439,0.345,0.104
United Arab Emirates,Abu Dhabi,506,2350,4.628,0.961,0.596,70.537,0.519,0.404,0.101
United Arab Emirates,Dubai,722,3314,4.712,0.918,0.513,70.17,0.513,0.416,0.134
United Arab Emirates,Sharjah,131,617,4.7,0.935,0.507,74.314,0.507,0.418,0.109
