group,family,prevalence,sim_hosp,margin,type,centrality
inspi,inspira/inspiracao/inspirador/inspiradora/inspiradoras/inspiradores/inspirar,0.0097,0.5667566657066345,0.2178713977336883,0,0.909
motiv,motiva/motivacao/motivado/motivador/motivadora,0.0038,0.6023727059364319,0.2335956692695617,0,0.881
incen,incentiva/incentivam/incentivando/incentivar/incentivo,0.0049,0.5144202709197998,0.2600625455379486,0,0.85
dedic,dedica/dedicacao/dedicada/dedicadas/dedicados/dedicam,0.0196,0.5233358144760132,0.1690788865089416,0,0.823
acolh,acolhedor/acolhedora/acolhedoras/acolhedores/acolhida/acolhido/acolhidos/acolhimento,0.0387,0.7491700053215027,0.3725605905056,0,0.822
energ,energia/energias/energica,0.0157,0.5713473558425903,0.1878316402435302,0,0.795
cresc,crescer/cresceu/crescimento,0.0058,0.45425945520401,0.200088232755661,0,0.777
alegr,alegre/alegres/alegria,0.0132,0.6030431985855103,0.1460051536560058,0,0.766
posit,positiva/positividade/positivo,0.0111,0.6151812672615051,0.3117785155773163,0,0.764
apaix,apaixonados/apaixonar,0.0044,0.4810636639595032,0.1568270921707153,0,0.75
anima,animadas/animado,0.0038,0.4721748828887939,0.0952230989933013,0,0.734
criat,criativa/criativas/criativo,0.0111,0.4453145563602447,0.1138659715652465,0,0.725
enriq,enriquecedor/enriquecedora/enriqueceram/enriqueceu,0.0051,0.556405782699585,0.1165927052497863,0,0.722
apren,aprendizado,0.0099,0.429302841424942,0.106021761894226,0,0.684
comun,comunidade/comunitario,0.0066,0.5130634903907776,0.2434723377227783,0,0.67
paixa,paixao,0.0133,0.4371330142021179,0.0935563445091247,0,0.654
entus,entusiasmo,0.0053,0.4417474269866943,0.153081476688385,0,0.65
envol,envolvente,0.0047,0.4736461341381073,0.0873037874698638,0,0.65
pacie,pacientes,0.0051,0.476839005947113,0.1951510310173034,0,0.615
prest,prestativa/prestativas/presteza/prestou,0.0243,0.5327715277671814,0.1878675520420074,1,0.848
recep,recepcao/recepcionista/receptiva/receptividade/receptivo,0.0165,0.6118801832199097,0.2023639380931854,1,0.825
genti,gentil/gentileza/gentis,0.0424,0.5234055519104004,0.2155193090438842,1,0.815
respe,respeitada/respeitado/respeitosa/respeitoso/respeitosos,0.0084,0.5149781107902527,0.1904475688934326,1,0.787
calor,calorosa/calorosamente/caloroso/calorosos,0.0116,0.6780611276626587,0.3457794487476349,1,0.786
cuida,cuida/cuidada/cuidadosos/cuidando,0.0053,0.5277572274208069,0.1952163875102996,1,0.764
simpa,simpatia/simpatica/simpaticas/simpaticos,0.0505,0.5346096158027649,0.1577136814594268,1,0.763
humil,humilde/humildes,0.0041,0.5239430665969849,0.1613625586032867,1,0.754
atenc,atencao/atenciosa/atenciosas,0.0581,0.4851417243480682,0.1270991563796997,1,0.74
sorri,sorridente/sorrindo/sorriso/sorrisos,0.0073,0.5488543510437012,0.2515522986650467,1,0.739
carin,carinho/carinhosa,0.012,0.6113892793655396,0.1974586844444275,1,0.73
hospi,hospitaleiro/hospitalidade,0.0132,0.6407591700553894,0.2738843858242035,1,0.72
compe,competencia/competentes,0.0049,0.4941114783287048,0.1089738011360168,1,0.717
genui,genuina/genuinamente/genuino,0.0089,0.5428382158279419,0.1946058869361877,1,0.697
receb,recebida/recebido/recebidos,0.0085,0.5703117847442627,0.2145010828971862,1,0.633
since,sincera/sinceridade,0.0036,0.4321090281009674,0.1503558754920959,1,0.623
amiga,amigavel,0.0244,0.5287817120552063,0.0324346721172332,1,0.622
educa,educada,0.0071,0.4331365823745727,0.0610781610012054,1,0.599
famil,familia/familiar,0.0491,0.4712787866592407,0.0554440021514892,1,0.581
calma,calma,0.0035,0.528949499130249,0.1658437252044677,1,0.578
confo,confortavel/conforto,0.0443,0.4565488696098327,0.1177670657634735,1,0.577
profi,profissionalismo,0.0228,0.4414812624454498,0.1284084320068359,1,0.571
apoio,apoio,0.0131,0.457902729511261,0.131982535123825,1,0.569
segur,segura/seguro,0.0206,0.4317067265510559,0.0681869685649871,1,0.562
anfit,anfitriao,0.0043,0.4910655617713928,0.1056425273418426,1,0.562
tranq,tranquilidade,0.0056,0.4308193325996399,0.1141588389873504,1,0.53
aconc,aconchegante/aconchegantes/aconchego,0.0179,0.677416980266571,0.271433413028717,2,0.894
atmos,atmosfera/atmosferico,0.017,0.6239550113677979,0.2444384694099426,2,0.835
vibra,vibracao/vibracoes/vibrante,0.0093,0.5855479836463928,0.2025692760944366,2,0.814
relax,relaxados/relaxante/relaxantes,0.0086,0.623970091342926,0.1910547614097595,2,0.806
encan,encantador/encantadora/encantadoras,0.0077,0.5503312349319458,0.0825823843479156,2,0.803
charm,charme/charmosa,0.0032,0.5528861284255981,0.0750050842761993,2,0.787
desco,descontraida/descontraido,0.0044,0.5663415193557739,0.1305300593376159,2,0.76
decor,decoracao/decorados,0.0095,0.4911137521266937,0.1318075954914093,2,0.743
ambie,ambiente,0.0596,0.5537146925926208,0.1820986568927765,2,0.698
auten,autentica/autenticidade,0.0063,0.4712015986442566,0.1732431352138519,2,0.644
clima,clima,0.0065,0.4685292243957519,0.1355533301830291,2,0.634
