term,sim_to_seed_centroid,freq,is_name,cluster,centrality
cordialidade,0.576,79,False,0,0.5619624853134155
presteza,0.533,59,False,0,0.525966465473175
receptividade,0.612,31,False,0,0.522533118724823
impar,0.583,32,False,0,0.4962785542011261
exemplar,0.548,54,False,0,0.49530458450317383
generosidade,0.521,46,False,0,0.4874706566333771
enriqueceram,0.493,31,False,0,0.4812704622745514
simpatia,0.535,303,False,0,0.47644132375717163
ajit,0.512,25,False,0,0.4763765037059784
gentileza,0.523,397,False,0,0.47612595558166504
carisma,0.558,52,False,0,0.47605159878730774
genuina,0.501,100,False,0,0.4720155894756317
extraordinarios,0.509,28,False,0,0.4695171117782593
calorosa,0.675,330,False,0,0.46747615933418274
genuino,0.543,146,False,0,0.4654850363731384
contribuiram,0.495,29,False,0,0.4617699086666107
hospitalidade,0.641,652,False,0,0.45303165912628174
excepcional,0.475,1241,False,0,0.4481293559074402
acolhidos,0.622,40,False,0,0.4430829882621765
verdadeiramente,0.49,1072,False,0,0.4177795946598053
descomplicada,0.463,32,False,0,0.40125900506973267
sorriso,0.475,240,False,0,0.3953447937965393
calorosamente,0.547,75,False,0,0.39324578642845154
energica,0.571,27,False,1,0.611167848110199
carinhosa,0.611,34,False,1,0.6044086813926697
amorosa,0.605,25,False,1,0.598258912563324
entusiasmada,0.495,29,False,1,0.5771821141242981
solidaria,0.528,45,False,1,0.56678307056427
amavel,0.649,33,False,1,0.549157977104187
detalhista,0.562,29,False,1,0.5321799516677856
manu,0.59,27,False,1,0.5318788290023804
receptiva,0.482,95,False,1,0.529958188533783
dedicada,0.471,158,False,1,0.5193310976028442
gentil,0.485,1374,False,1,0.5154415369033813
humilde,0.485,166,False,1,0.5137454271316528
sorridente,0.544,53,False,1,0.5132838487625122
atenciosa,0.485,1202,False,1,0.5117926597595215
respeitosa,0.515,92,False,1,0.5090760588645935
atenta,0.461,74,False,1,0.5043396353721619
alegre,0.603,215,False,1,0.49642279744148254
respeitada,0.504,26,False,1,0.49560630321502686
kholoud,0.503,29,False,1,0.49542301893234253
simpatica,0.46,1265,False,1,0.4893301725387573
sensivel,0.469,54,False,1,0.48573219776153564
acolhedora,0.73,526,False,1,0.46139413118362427
amigavel,0.529,1258,False,1,0.4575641453266144
diretora,0.494,41,False,1,0.4568004608154297
tia,0.522,57,False,1,0.41939595341682434
maravilhosa,0.473,2913,False,1,0.4094218909740448
cuidando,0.476,69,False,1,0.39830347895622253
atencioso,0.492,1187,False,1,0.3836912214756012
encorajadores,0.581,30,False,2,0.6210505962371826
solidarios,0.492,45,False,2,0.5978424549102783
dedicados,0.51,103,False,2,0.5862649083137512
humildes,0.524,40,False,2,0.5845292210578918
calorosos,0.605,44,False,2,0.5827730298042297
gentis,0.492,501,False,2,0.5769176483154297
pacientes,0.477,259,False,2,0.5741387605667114
dedicadas,0.523,28,False,2,0.5706152319908142
competentes,0.494,114,False,2,0.5620261430740356
acolhedores,0.601,190,False,2,0.5556833148002625
acolhedoras,0.526,67,False,2,0.5497371554374695
cuidadosos,0.467,59,False,2,0.5434636473655701
cordiais,0.533,33,False,2,0.5411116480827332
incentivam,0.505,28,False,2,0.5386078953742981
humorados,0.473,29,False,2,0.5374689698219299
prestativas,0.484,65,False,2,0.5349594950675964
apoiam,0.53,34,False,2,0.5277210474014282
apaixonados,0.481,177,False,2,0.5273793339729309
dedicam,0.506,32,False,2,0.506446361541748
atenciosas,0.479,135,False,2,0.4982888996601105
simpaticos,0.466,910,False,2,0.49610644578933716
queridas,0.5,27,False,2,0.468048095703125
recebida,0.57,72,False,2,0.4104563593864441
convidativa,0.718,29,False,3,0.5285463929176331
intimista,0.557,44,False,3,0.5113129019737244
aconchego,0.677,30,False,3,0.5105081796646118
sereno,0.502,56,False,3,0.5035732984542847
aconchegante,0.633,829,False,3,0.5007855296134949
atmosferico,0.624,26,False,3,0.49886053800582886
charmosa,0.553,40,False,3,0.4914062023162842
charmoso,0.541,76,False,3,0.4881375730037689
decorados,0.491,27,False,3,0.478899210691452
encantador,0.55,216,False,3,0.46844789385795593
convidativo,0.622,94,False,3,0.4645766615867615
relaxante,0.481,376,False,3,0.45507097244262695
serena,0.532,40,False,3,0.4516963064670563
privilegiada,0.514,31,False,3,0.4405803978443146
fuga,0.516,25,False,3,0.4399462938308716
encantadores,0.479,27,False,3,0.43917348980903625
charme,0.465,121,False,3,0.43432438373565674
encantadora,0.522,143,False,3,0.4322947561740875
relaxantes,0.462,48,False,3,0.4174426198005676
energias,0.519,35,False,3,0.41227808594703674
calmo,0.494,139,False,3,0.41076943278312683
luxuosa,0.496,63,False,3,0.4070283770561218
agradavel,0.49,3017,False,3,0.40450119972229004
incrivel,0.483,7897,False,3,0.40443727374076843
impecavelmente,0.487,76,False,3,0.4022357165813446
fofo,0.496,63,False,3,0.4003615081310272
comunitario,0.513,29,False,3,0.39808765053749084
atmosfera,0.592,873,False,3,0.39755067229270935
hospitaleiro,0.587,40,False,3,0.39072680473327637
indescritivel,0.487,42,False,3,0.3773527443408966
familiar,0.471,293,False,3,0.36762872338294983
maravilhoso,0.462,2191,False,3,0.3580290973186493
cuidada,0.528,70,False,3,0.34914934635162354
anfitriao,0.491,234,False,3,0.338771253824234
autoestima,0.512,25,False,4,0.5568897724151611
motivacao,0.534,40,False,4,0.5431993007659912
leveza,0.628,31,False,4,0.5403127074241638
positividade,0.615,50,False,4,0.5319861769676208
inspira,0.509,40,False,4,0.5317361354827881
uniao,0.518,26,False,4,0.5293233394622803
humana,0.579,36,False,4,0.5181378722190857
inspirar,0.48,40,False,4,0.5154151916503906
incentivo,0.489,82,False,4,0.5146809220314026
inspiradoras,0.549,32,False,4,0.5102198123931885
inabalavel,0.489,37,False,4,0.5083441734313965
contagiante,0.538,120,False,4,0.5065284967422485
inspiradores,0.523,30,False,4,0.5035395622253418
promovendo,0.489,32,False,4,0.5023292899131775
inspiracao,0.483,88,False,4,0.5016705989837646
enriquecedor,0.556,36,False,4,0.49569666385650635
comovente,0.513,33,False,4,0.49484607577323914
harmonia,0.538,27,False,4,0.48661792278289795
acolhimento,0.669,97,False,4,0.4774381220340729
incentivar,0.461,26,False,4,0.4739377498626709
ativa,0.504,29,False,4,0.4694214165210724
inestimaveis,0.462,38,False,4,0.46897098422050476
vinculo,0.481,31,False,4,0.46285560727119446
transformadora,0.486,39,False,4,0.46086883544921875
alegria,0.482,418,False,4,0.4564463794231415
amizades,0.514,83,False,4,0.45252543687820435
aura,0.562,28,False,4,0.44791626930236816
curiosidade,0.47,37,False,4,0.44478970766067505
cativante,0.472,40,False,4,0.444584459066391
amizade,0.51,42,False,4,0.44133874773979187
trazendo,0.491,35,False,4,0.4350516200065613
autenticidade,0.471,48,False,4,0.427679181098938
energia,0.483,777,False,4,0.42761650681495667
comunidade,0.497,333,False,4,0.4173360764980316
positiva,0.518,328,False,4,0.40775084495544434
interacao,0.493,95,False,4,0.38760101795196533
motivador,0.602,44,False,5,0.5656838417053223
motivadora,0.602,33,False,5,0.5638279914855957
estimulante,0.649,37,False,5,0.5460221767425537
encorajadora,0.577,44,False,5,0.5387164950370789
encorajador,0.565,55,False,5,0.531936526298523
motivado,0.586,44,False,5,0.5162896513938904
inclusivo,0.598,28,False,5,0.5017390847206116
motiva,0.553,35,False,5,0.4960070550441742
incentiva,0.514,67,False,5,0.494311660528183
terapeutica,0.507,32,False,5,0.48946285247802734
descontraida,0.566,76,False,5,0.4760090410709381
acolhido,0.678,31,False,5,0.4751347005367279
inspiradora,0.529,145,False,5,0.47155824303627014
inspirador,0.567,138,False,5,0.4668193459510803
acolhedor,0.749,1069,False,5,0.4632512629032135
prazerosa,0.51,28,False,5,0.4597473442554474
vibracao,0.586,157,False,5,0.45788079500198364
solidario,0.553,42,False,5,0.45339474081993103
revigorante,0.484,39,False,5,0.4517933428287506
eficazes,0.531,26,False,5,0.44832947850227356
sorrindo,0.549,31,False,5,0.4445011615753174
acolhida,0.727,79,False,5,0.4443473517894745
carismatico,0.55,31,False,5,0.443886399269104
pareca,0.51,29,False,5,0.44311952590942383
descontraido,0.542,149,False,5,0.44032132625579834
caloroso,0.678,144,False,5,0.4383356273174286
relaxados,0.624,25,False,5,0.4339850842952728
astral,0.563,62,False,5,0.4272253215312958
envolvente,0.474,241,False,5,0.4271066188812256
calma,0.529,181,False,5,0.4243592619895935
animado,0.472,152,False,5,0.4238418638706207
vibe,0.508,101,False,5,0.4222564697265625
entusiasmado,0.479,44,False,5,0.4204038679599762
fofa,0.493,41,False,5,0.4141792953014374
ambiente,0.554,3222,False,5,0.40922847390174866
vibracoes,0.532,134,False,5,0.40287065505981445
sente,0.489,238,False,5,0.36773282289505005
genuinamente,0.469,207,False,5,0.36485156416893005
clima,0.469,341,False,5,0.3605188727378845
sentir,0.495,969,False,5,0.3469943702220917
